category,question,optionA,optionB,optionC,optionD,correct,image,explanation
VFR,Explain the meaning of the acronyms 'D-ATIS',Digital Automated Terminal Information Service,Daily Automatic Traffic Information Service,Digital Automatic Traffic Information Service,Data link Automatic Terminal Information Service,4,,
VFR,"If a pilot wants to receive weather information during cruise flight or during the approach, which of the following statements is correct?",ATIS refers to short term information (current weather) while VOLMET contains only long term information (forecasts).,No action is necessary by the pilot since pilots are informing each other about any thunderstorms in the vicinity.,"VOLMET contains METAR, SPECI, TAF and SIGMET.",ATIS gives information about TAF and METAR.,3,,
VFR,Which information can aircraft in flight obtain by VOLMET service?,Aviation routine weather reports (METAR) of specific airports.,SPECI and TAF.,SIGMET.,Runway reports.,1,,
VFR,How aviation routine weather reports (METAR) of specific airports are obtained by aircraft in flight?,ATIS,VOLMET,AFIS,SIGMET,2,,
VFR,"A message preceded by the phrase ""TRANSMITTING BLIND DUE RECEIVER FAILURE"" shall be transmitted:",on all available aeronautical stations.,on the regional guard frequency.,on the international emergency frequency.,on the frequency presently in use.,4,,
VFR,What can be omitted in a blind transmission due to receiver failure communication?,The repetition of the full message.,"The phrase ""Transmitting blind due to receiver failure"".",The time of the next intended transmission.,The frequency of the station called.,4,,
VFR,"The expression ""TRANSMITTING BLIND DUE TO RECEIVER FAILURE"" implies that no answer is expected. It shall be used by:",a radar controller performing a PAR or SRE final approach.,"an aircraft station doing blind transmissions at a ""non-towered"" airfield.",a ground station broadcasting information to all listening stations.,an aircraft station being aware of receiver failure.,4,,
VFR,An aircraft is squawking 7600. This indicates:,It is unable to establish communication due to radio equipment failure.,It is requesting immediate level change.,It is about to make a forced landing.,It is diverting to the alternate aerodrome.,1,,
VFR,"You are in the traffic pattern of a controlled airport and you notice a radio failure. Which of the following is correct?<br>1) If you see a flashing red light, it means that the airport is unsafe and you do not land.<br>2) You try to establish communication with the ATS unit with all the possible means available.<br>3) If you see a flashing green light you approach to land.","1, 2","1, 2, 3","1, 3","2, 3",2,,
VFR,"When transmitting a message preceded by the phrase ""TRANSMITTING BLIND DUE TO RECEIVER FAILURE"" during an en-route flight, the aircraft station shall also:",return to the airport of departure.,land at the nearest airfield/airport.,advise the time of its next intended transmission.,join base leg when approaching the airfield for landing.,3,,
VFR,What action is required by the pilot of an aircraft station if he/she is unable to establish radio contact with an aeronautical station?,Divert to the alternate airport.,Squawk mode A code 7 500.,Try to establish communication with other aircraft or aeronautical stations.,Land at the nearest aerodrome appropriate to the route of flight.,3,,
VFR,"If all attempts to establish radio contact with a ground station fail, the pilot of an aeroplane shall transmit messages preceded by the phrase:",TRANSMITTING BLIND.,"PAN PAN, PAN PAN, PAN PAN.",HOW DO YOU READ?,"READ YOU ONE, READ YOU ONE.",1,,
VFR,Under which of the following circumstances shall an aircraft station squawk 7600?,When approaching a prohibited area.,When flying over desert areas.,When entering bad weather areas.,In case of radio communication failure.,4,,
VFR,An aircraft station fails to establish radio contact with an aeronautical station on the designated frequency. What action is required by the pilot?,Continue the flight to the destination airport without any communication.,Attempt to establish contact with the station on an alternative frequency.,Return to the airport of departure.,Land at the nearest airport without an ATC unit.,2,,
VFR,What is the transponder code for radio communication failure?,7200,7600,7700,7500,2,,
VFR,When shall the pilot of an aircraft experiencing communications failure keep a watch for instructions passed by visual signals?,When flying VFR above clouds.,When the aircraft is forming part of the aerodrome traffic at a controlled aerodrome.,When the aircraft is entering the traffic pattern of an uncontrolled airport.,When entering a FIR during a VFR flight.,2,,
VFR,Radio silence can be imposed by an aeronautical station in case of:,technical difficulties.,distress traffic.,urgency communication.,overload of the frequency.,2,,
VFR,"""DISTRESS"" is defined as:","a condition concerning the safety of an aircraft or of a person on board, but which does not require immediate assistance.",a condition concerning the safety of a person on board or within sight and requiring immediate assistance.,a condition concerning the attitude of an aircraft when intercepting the localizer during an ILS approach.,a condition of being threatened by serious and/or imminent danger and requiring immediate assistance.,4,,
VFR,The distress message shall contain as many as possible of the following elements/details:,"aircraft call sign, present position, assistance required.","aircraft call sign, nature of distress, pilots intention, present position, level and heading.","aircraft call sign, aerodrome of departure, position and level.","aircraft call sign, route of flight, destination airport.",2,,
VFR,Which of the following messages shall a station in control of distress use to impose silence?,"ALL STATIONS IN THIS FREQUENCY, MAYDAY TRAFFIC.","STOP TRANSMITTING, DISTRESS.","STOP TRANSMITTING, MAYDAY.","STOP TRANSMITTING, EMERGENCY.",3,,
VFR,Which of the following frequencies is an international emergency frequency?,121.050 MHz,121.005 MHz,121.500 MHz,122.500 MHz,3,,
VFR,Under which of the following circumstances shall an aircraft squawk 7700?,In distress.,When flying within controlled airspace.,When passing the transition level.,When following a SID.,1,,
VFR,The distress communication and silence conditions shall be terminated by transmitting a message. Which words shall this message include?,"DISREGARD DISTRESS COMMUNICATION, OUT.",EMERGENCY COMMUNICATION FINISHED.,DISTRESS TRAFFIC ENDED.,MAYDAY TRAFFIC ENDED,3,,
VFR,"A signal sent by radiotelephony consisting of the spoken words ""MAYDAY MAYDAY MAYDAY"" means:",the aircraft is forced to perform a fuel dumping procedure.,imminent danger threatens the aircraft and immediate assistance is required.,the aircraft has a message to transmit concerning adverse weather conditions along its route of flight.,"the aircraft has a very urgent message to transmit concerning the safety of a ship, aircraft or vehicle.",2,,
VFR,The frequency 121.500 MHz is designated as:,a regional UHF frequency.,an international emergency frequency.,a frequency for air-to-air communication.,an airline operation frequency.,2,,
VFR,An aircraft in state of emergency shall squawk:,7600,7700,7500,7200,2,,
VFR,An aircraft squawking 7700 indicates to the ground station that:,the aircraft's transceiver is unserviceable.,the aircraft is being hijacked.,the aircraft is in distress.,there is a sick passenger on board.,3,,
VFR,What action should be taken by the aircraft station first receiving a distress message?,"Request the nature of emergency in progress, and request further intentions.",Ask the station to change to frequency 121.5 MHz.,Immediately acknowledge the distress message.,Request position of the station in distress.,3,,
VFR,An aircraft in distress shall send the following signal by radiotelephony:,"DETRESFA, DETRESFA, DETRESFA","PAN PAN, PAN PAN, PAN PAN","URGENCY, URGENCY, URGENCY","MAYDAY, MAYDAY, MAYDAY",4,,
VFR,"When an aircraft is no longer in distress, it shall transmit a message cancelling the distress condition. Which words shall this message include?",DISTRESS CONDITION TERMINATED.,CANCEL DISTRESS.,MAYDAY CANCELLED.,"MAYDAY, RESUMING NORMAL OPERATIONS.",2,,
VFR,The frequency used for the first transmission of a MAYDAY call shall be:,any other international emergency frequency.,any frequency at pilot's discretion.,the distress frequency 121.5 MHz.,the frequency currently in use.,4,,
VFR,"When an aircraft station receives the call ""ALL STATIONS, STEPHENVILLE RADAR, DISTRESS TRAFFIC ENDED"" it is requested:",to discontinue communication with Stephenville RADAR.,to acknowledge receipt of this message.,to impose silence to other stations in its vicinity.,to resume normal communication with Stephenville RADAR.,4,,
VFR,On hearing an urgency message a pilot shall:,acknowledge the message immediately.,impose radio silence on the frequency in use.,monitor the frequency to ensure assistance if required.,"change the frequency, because radio silence will be imposed on the frequency in use.",3,,
VFR,Urgency is defined as:,a condition concerning the attitude of an aircraft when intercepting the localizer during an ILS approach.,"a condition concerning the safety of an aircraft or other vehicles, or of a person on board, but which does not require immediate assistance.",a condition concerning the safety of a person on board or within sight and requiring immediate assistance.,a condition of being threatened by serious and/or imminent danger and of requiring immediate assistance.,2,,
VFR,After departure of a VFR flight from an aerodrome one of the passengers feels very sick so the captain decides to return to the airfield. Which of the following phrases should be used in this case?,"Pan Pan Pan Pan Pan Pan, Fastair 123, Stuttgart Information, position 15 NM north of Stuttgart, FL110, returning to Stuttgart, due to sick passenger.","Pan Pan Pan Pan Pan Pan, Stuttgart Information, Fastair 123, returning to Stuttgart, due to sick passenger, position 15 NM north of Stuttgart, FL110.","Pan Pan Pan Pan Pan Pan, Stuttgart Information, Fastair 123, position 15 NM north of Stuttgart, FL110, due to sick passenger, returning to Stuttgart.","Pan Pan Pan Pan Pan Pan, Stuttgart Information, Fastair 123, due to sick passenger, returning to Stuttgart, position 15 NM north of Stuttgart, FL110.",4,,
VFR,"A signal sent by radiotelephony consisting of the spoken words ""PAN PAN, PAN PAN, PAN PAN"" means:","the aircraft has a very urgent message to transmit concerning the safety of a ship, aircraft or other vehicle, but immediate assistance is not required.",imminent danger threatens the aircraft and immediate assistance is required.,an aircraft on final approach is starting the missed approach procedure.,the aircraft is diverting from the route cleared because of a thunderstorm and asks for immediate re-clearance.,1,,
VFR,Which frequency shall be used for the first transmission of an urgency call?,Any frequency at pilotâ€™s discretion.,The international emergency frequency.,The air-ground frequency in use at the time.,The regional guard frequency.,3,,
VFR,An urgency message shall be preceded by the radiotelephony urgency signal:,"MAYDAY, spoken three times.","URGENCY, spoken three times.","PAN PAN, spoken three times.","ALERFA, spoken three times.",3,,
VFR,Which of the following radio contacts in the VHF band is least likely to be effected by attenuation?,Two aircraft in contact with each other at 30 000 ft.,An aircraft in contact with a ground station.,A ground station in contact with another ground station.,Two aircraft in contact with each other at 10 000 ft.,1,,
VFR,Which is the frequency separation between consecutive frequencies in the VHF band?,25 kHz,250 kHz,50 kHz,75 kHz,1,,
VFR,Which factor will normally influence the reception of VHF transmission?,Level of aircraft and terrain elevations.,Day and night effect.,Electrical discharges as they happen frequently in thunderstorms.,The ionosphere.,1,,
VFR,What are the propagation characteristics of VHF?,Similar to short waves with practically no atmospheric disturbance.,The waves travel along the surface of the Earth and penetrate into valleys in a way that topographical obstacles have no influence.,The waves are reflected at the ionosphere at the height of about 100 km and reach the Earth surface in the form of sky-waves.,Practically straight-line similar to light waves.,4,,
VFR,To which frequency bands do the frequencies 118.000 - 136.975 MHz of the Aeronautical Mobile Service belong?,Medium Frequency.,Very Low Frequency.,Very High Frequency.,Low Frequency.,3,,
VFR,What is the difference between VHF and HF communication?,"VHF communication has higher frequency, higher range and higher readability than HF communications.","VHF communication has lower frequency, higher range and higher readability than HF communications.","VHF communication has higher frequency, lower range and higher readability than HF communications.","VHF communication has lower frequency, lower range and lower readability than HF communications.",3,,
VFR,After take-off the aircraft at 6 000 ft wants to contact a ground station. To which of the following ground stations it is most likely to get in contact with?,"Ground station at 350 ft, distance 140 NM.","Ground station at 550 ft, distance 120 NM.","Ground station at 150 ft, distance 130 NM.","Ground station at 800 ft, distance 150 NM.",2,,
VFR,Which is the frequency band containing frequencies of the Aeronautical Mobile Service?,108.000 - 117.975 MHz,1 810 - 2 850 kHz,118.000 - 136.975 MHZ,11 650 - 13 200 kHz,3,,
VFR,Under which of the following circumstances may you expect a solid reception of the TOWER frequency 118.2 MHz?,Aircraft at low level but far away from the ground station.,"Aircraft at low level, in the vicinity of the ground station, in the radio shadow zone of a hill.","Aircraft at low level, far away from the ground station, in the radio shadow zone of a hill.",Aircraft at high level in the vicinity of the ground station.,4,,
VFR,Which is the maximum distance at which you might expect solid VHF contact over flat terrain at FL50?,About 85 NM,About 15 NM,About 8 NM,About 150 NM,1,,
VFR,Which type of signal is used for aeronautical radio communication?,Amplitude modulation and VHF.,Frequency modulation and VHF.,Amplitude modulation and UHF.,Frequency modulation and UHF.,1,,

